raiting,price(RUB),articul,CPU,RAM(GB),SSD(GB),GPU,RAM type,CPU cores,CPU frequency(GHZ),VRAM(GB),power supply(W)
4.5,142384,1652470361,amdryzen57500f,32,2000,nvidiageforcertx4070,DDR5,6,3.7,12,650
5,18881,1700298265,intelcorei7-4790,16,480,intelhdgraphics,DDR3,4,3.6,1,400
4.7,39504,1637781327,intelxeone5-2640v4,16,512,nvidiageforcertx2060,DDR4 Reg,10,2.4,8,500
4.9,381016,1652469848,amdryzen97900x,32,2000,nvidiageforcertx4090,DDR5,12,4.7,24,1000
4.5,13958,1665537072,amdproa8-8650b,32,480,amdradeonr7,DDR3,4,3.2,8,240
4.8,31200,1344629680,intelxeone5-2650v3,16,512,nvidiageforcegtx1660super,DDR4 Reg,10,2.3,6,500
4.5,6301,1568464372,amdproa8-8650b,8,240,amdradeonr7,DDR3,4,3.2,8,240
4.9,28000,1618108402,intelxeone5-2660v3,16,512,amdradeonrx580,DDR4,10,3.5,8,500
4.9,46560,1454671288,intelcorei3-12100,8,256,inteluhdgraphics730,DDR4,4,3.3,8,400
4.7,24690,1449774619,intelxeone5-2650v2,16,512,amdradeonrx580,DDR3,8,3.4,8,500
5,7130,631283734,intelcorei3-2100,4,120,intelhdgraphics2000,DDR3,2,3100,2,400
4.7,29765,1584651330,intelxeone5-2650v4,16,512,amdradeonrx580,DDR4 Reg,12,2.9,8,500
4.9,13356,1421954378,intelcorei5-2400,8,240,intelhdgraphics,DDR3,4,3.1,1,600
4.6,18119,1440372705,intelxeone5-2650v2,32,128,nvidiageforcegt730,DDR3,8,3.4,4,500
4.9,73367,1453349480,intelcorei5-10400f,16,1024,nvidiageforcertx3060,DDR4,6,2.9,12,600
4.5,164373,1637607146,intelcorei7-12700f,32,1024,nvidiageforcertx4070ti,DDR4,12,3600,12,800
4.3,25728,1580128849,intelxeone5-2650v2,32,512,amdradeonrx580,DDR3,8,3.4,8,500
4.5,142384,1653713527,amdryzen57500f,32,2000,nvidiageforcertx4070,DDR5,6,3.7,12,650
4.8,25099,1404664213,intelcorei3-9100f,8,480,nvidiageforcegt210,DDR4,4,3.6,4,600
5,49354,998535853,intelcorei3-10105f,8,512,nvidiageforcegtx1650,DDR4,4,3700,4,500
4.7,33038,1664983143,intelxeone5-2650v2,32,512,amdradeonrx580,DDR3,8,2.6,8,600
4.5,99566,1637607529,amdryzen55600,32,1024,nvidiageforcertx3080,DDR4,6,3500,10,800
4.9,152897,1666732245,intelcorei7-13700kf,16,1000,nvidiageforcertx4070,DDR5,16,2.5,12,800
4.6,24753,1344540612,intelxeone5-2650v2,32,512,nvidiageforcegt730,DDR3,8,2.6,4,500
4.9,27458,1636358027,intelcorei5-10400f,8,480,amdradeonrx5500,DDR4,6,2900,4,600
4.5,11909,1616081644,amda88670e,16,240,amdradeonr7,DDR4,4,2.8,8,180
5,62195,1431699241,intelcorei5-12400f,32,1000,nvidiageforcertx3050,DDR4,6,2.5,8,600
4.6,62560,1395394496,intelcorei5-12400f,16,512,nvidiageforcertx3060,DDR4,6,2.5,12,600
4.8,66022,1607905950,intelcorei5-11400f,16,1000,amdradeonrx6600,DDR4,6,4.4,8,500
4.7,9624,1431564670,intelcorei5-2300,8,240,intelhdgraphics620,DDR3,4,3100,8,300
5,95447,1581678053,intelcorei5-13400f,32,256,nvidiageforcertx4060ti,DDR4,10,2.5,8,600
4.9,56448,1609637968,intelcorei5-6600,32,960,nvidiageforcegtx1660super,DDR4,4,3.9,6,500
4.6,65849,1395394160,intelcorei5-12400f,32,1000,nvidiageforcertx3060ti,DDR4,6,2.5,8,600
4.7,34768,1381113314,intelcorei7-2600,16,1024,amdradeonrx580,DDR3,4,3.4,8,600
4.7,11286,1389498547,amda10-7800,16,512,amdradeonr7,DDR3,4,3500,8,300
4.9,46560,1454671288,intelcorei3-12100,8,256,inteluhdgraphics730,DDR4,4,3.3,8,400
4.7,81737,1637607331,intelcorei5-12400f,32,1024,nvidiageforcertx3060,DDR4,6,2500,12,600
5,74393,1574391003,intelcorei7-5820k,32,1000,nvidiageforcertx3060,DDR4,6,3.60,12,700
4.9,70164,1555440438,amdryzen53600,16,512,nvidiageforcertx3070,DDR4,6,3.6,8,600
4.5,136927,1653513049,amdryzen57500f,32,1000,nvidiageforcertx4070,DDR5,6,3.7,12,650
4.9,66067,1654695015,intelcorei3-10105f,32,1024,nvidiageforcertx3050,DDR4,4,3600,8,500
4.5,132959,1653545692,amdryzen57500f,32,2000,amdradeonrx7800xt,DDR5,6,3.7,16,700
4.9,46560,1579541115,amdryzen57500f,8,256,nvidiageforcertx3070,DDR4,6,3700,8,600
5,72095,1638864715,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2.5,8,700
4.9,20091,1705569083,intelcorei5-4570,16,512,intelhdgraphics4600,DDR3,4,3.4,2,450
4.5,12264,1609964506,intelcorei5-2300,16,240,intelhdgraphics2000,DDR3,4,3100,1,400
4.6,11054,1315807923,intelcorei3-2100,16,512,intelhdgraphics,DDR3,2,3.1,1,400
4.9,79320,1422274984,amdryzen55600,32,1024,nvidiageforcertx2060super,DDR4,6,3500,8,600
4.9,67918,693667084,intelcorei7-3770,16,1024,nvidiageforcertx3060,DDR3,4,3.4,12,600
4.8,39317,1204638590,amdryzen55600g,16,1024,amdradeonvega7,DDR4,6,3.9,2,600
4.5,48345,1577394115,intelxeone5-2670v3,32,512,nvidiageforcertx3050,DDR4,12,3.1,8,600
4.9,74021,1461242588,amdryzen53600,16,512,nvidiageforcertx3070,DDR4,6,3.6,8,600
4.9,40750,1528681994,amdryzen54600g,32,960,amdradeonvega7,DDR4,6,3.7,2,600
4.5,12863,1616088036,amda88670e,16,480,amdradeonr7,DDR4,4,2.8,8,180
4.5,66698,1637607538,amdryzen55600,16,1024,nvidiageforcertx3050,DDR4,6,3500,8,500
4.9,381513,1653711498,intelcorei7-14700kf,64,2000,nvidiageforcertx4090,DDR5,20,3.4,24,1000
4.9,47097,1654695217,amdryzen52600,32,1024,amdradeonrx580,DDR4,6,2600,8,500
4.5,47568,1637606697,amdryzen53600,8,256,amdradeonrx580,DDR4,6,3600,8,500
4.5,63431,1637607058,intelcorei5-10400f,8,256,nvidiageforcertx3050,DDR4,6,2900,8,500
4.9,166695,1652470667,intelcorei7-14700kf,32,1000,amdradeonrx7800xt,DDR5,20,3.4,16,750
5,47045,1523069088,intelcorei7-3770,16,480,nvidiageforcegtx1660super,DDR3,4,3.4,6,600
5,170663,1655758897,intelcorei5-14600kf,64,2000,nvidiageforcertx4070,DDR5,14,3.5,12,650
4.5,34670,1308743690,intelcorei7-7700,32,1000,nvidiageforcegtx1660super,DDR3,4,3.4,6,500
